review,review_id
Great product! Contact me at [REDACTED_EMAIL] for more details.,1
My credit card number is [REDACTED_CC]. Please keep it safe.,2
"Wonderful service, will buy again! SSN: [REDACTED_SSN].",3
"Loved it! For issues, email [REDACTED_EMAIL].",4
Quick delivery and excellent customer support.,5
My email is [REDACTED_EMAIL] and I had a great experience.,6
Call me at [REDACTED_PHONENUMBER] for any further questions.,7
"I lost my credit card, the number was [REDACTED_CC].",8
SSN: [REDACTED_SSN] should not be shared openly.,9
Best purchase ever! Reach me at [REDACTED_EMAIL].,10
